Unique.Plant.YR.ID,Unique.Plant.ID,Year,Row.ID,Species,ID,Leaf.Sample,Unique.Sample.ID,Leaf.wet.mass.g,Leaf.dry.mass.g,Leaf.thickness.mm,Image.ID,Leaf.area.mm2,Sample.Date,Bud_Num,Flower_Num,FL_2_dia,Total_Inflor_Height_cm,Fruit_Num,Infor_Culm_Num,TOTAL_Reproduction,Phen_Score.y,Seed_mass_g.x,Height.cm.y,Width.long.cm.y,Width.90.cm.y,Num.Stem_repo_Culm.y,Herb_Score.y,Above.wet.biomass.g,Below.wet.biomass.g,Root.depth.cm,Root.lateral.cm,Above.dry.biomass.g,Below.dry.biomass.g,stem.1.dia.1.mm,stem.1.dia.2.mm,stem.1.length.mm,stem.1.wet.mass.g,stem.1.dry.mass.g,stem.2.dia.1.mm,stem.2.dia.2.mm,stem.2.length.mm,stem.2.wet.mass.g,stem.2.dry.mass.g,root.seg.dia.1.mm,root.seg.dia.2.mm,root.seg.length.mm,root.seg.wet.mass.g,root.seg.dry.mass.g,total.SLA.leaves.wet.mass.g,total.SLA.leaves.dry.mass.g,total.above.wet.mass.g,total.above.dry.mass.g,total.below.wet.mass.g,total.below.dry.mass.g,Scientific_Name,Life.form,Plant.Family,Native.Exotic,Life.History,NOTES,lat,lon,elev,block,Neighbor.Density,Shannon.index,Diversity,stem.volume.mm3,stem.dry.density.g.mm3,root.volume.mm3,root.dry.density.g.mm3,LDMC.dry.wet,SLA
BOCU_883_2020,BOCU_883,2020,695,BOCU,883,1,BOCU.883.1,0.044,0.019,0.19,2020_10_04/IMG_0043,2.528,9/27/20,0,0,NA,53.2,0,3,0,6,NA,41.3,60.2,46.3,3,2,37.68,136.67,14.6,20.2,15.77,52.13,1.26,1.27,50.91,0.048,0.027,NA,NA,NA,NA,NA,0.56,0.55,36.85,0.008,0.005,0.079,0.035,37.807,15.832,136.678,52.135,Bouteloua.curtipendula,Grass,Poaceae,Native,Perennial,NA,31.81568096,-111.510734,1079.630493,7,7,1.386294361,4,63.98438934,0.000421978,8.914835623,0.000560863,0.431818182,133.0526316
BOCU_883_2020,BOCU_883,2020,696,BOCU,883,2,BOCU.883.2,0.035,0.016,0.16,2020_10_04/IMG_0044,2.287,9/27/20,0,0,NA,53.2,0,3,0,6,NA,41.3,60.2,46.3,3,2,37.68,136.67,14.6,20.2,15.77,52.13,1.26,1.27,50.91,0.048,0.027,NA,NA,NA,NA,NA,0.56,0.55,36.85,0.008,0.005,0.079,0.035,37.807,15.832,136.678,52.135,Bouteloua.curtipendula,Grass,Poaceae,Native,Perennial,NA,31.81568096,-111.510734,1079.630493,7,7,1.386294361,4,63.98438934,0.000421978,8.914835623,0.000560863,0.457142857,142.9375
HETERO_891_2020,HETERO_891,2020,691,HETERO,891,1,HETERO.891.1,0.069,0.027,0.16,2020_10_04/IMG_0039,4.098,9/22/20,0,0,NA,NA,0,0,0,2,NA,9.7,15,11.2,0,2,1.13,3.54,15,6.1,0.36,1.57,0.39,2.94,29.3,0.023,0.1,NA,NA,NA,NA,NA,0.52,0.88,33.36,0.007,0.0059,0.115,0.044,1.268,0.504,3.547,1.5759,Heteropogon.contortus,Grass,Poaceae,Native,Perennial,NA,31.81573402,-111.511809,1084.345093,3,6,1.098612289,3,63.79490241,0.001567523,12.83843254,0.000459558,0.391304348,151.7777778
HETERO_891_2020,HETERO_891,2020,692,HETERO,891,2,HETERO.891.2,0.046,0.017,0.14,2020_10_04/IMG_0040,2.962,9/22/20,0,0,NA,NA,0,0,0,2,NA,9.7,15,11.2,0,2,1.13,3.54,15,6.1,0.36,1.57,0.39,2.94,29.3,0.023,0.1,NA,NA,NA,NA,NA,0.52,0.88,33.36,0.007,0.0059,0.115,0.044,1.268,0.504,3.547,1.5759,Heteropogon.contortus,Grass,Poaceae,Native,Perennial,NA,31.81573402,-111.511809,1084.345093,3,6,1.098612289,3,63.79490241,0.001567523,12.83843254,0.000459558,0.369565217,174.2352941
HETERO_50_2020,HETERO_50,2020,737,HETERO,50,1,HETERO.50.1,0.084,0.044,0.21,2020_10_06/IMG_0002,3.617,9/26/20,0,4,NA,44.2,0,2,8,6,NA,35.2,45.8,27.7,2,3,18.06,12.82,15.2,10.1,6.7,4.77,1.51,1.57,31.05,0.047,0.021,NA,NA,NA,NA,NA,0.66,0.74,25.87,0.01,0.005,0.196,0.099,18.303,6.82,12.83,4.775,Heteropogon.contortus,Grass,Poaceae,Native,Perennial,NA,31.81555004,-111.510221,1082.328125,4,19,1.791759469,6,57.83529133,0.0003631,9.955942739,0.000502213,0.523809524,82.20454545
HETERO_50_2020,HETERO_50,2020,738,HETERO,50,2,HETERO.50.2,0.112,0.055,0.21,2020_10_06/IMG_0003,6.3,9/26/20,0,4,NA,44.2,0,2,8,6,NA,35.2,45.8,27.7,2,3,18.06,12.82,15.2,10.1,6.7,4.77,1.51,1.57,31.05,0.047,0.021,NA,NA,NA,NA,NA,0.66,0.74,25.87,0.01,0.005,0.196,0.099,18.303,6.82,12.83,4.775,Heteropogon.contortus,Grass,Poaceae,Native,Perennial,NA,31.81555004,-111.510221,1082.328125,4,19,1.791759469,6,57.83529133,0.0003631,9.955942739,0.000502213,0.491071429,114.5454545
ERLE_1_2020,ERLE_1,2020,526,ERLE,1,2,ERLE.1.2,0.058,0.023,0.18,2020_09_15/IMG_0011,3.24,9/11/20,0,294,NA,51.8,0,3,882,6,NA,39.1,53.5,35.2,3,3,20.94,21.52,15.2,8.2,10.7,13.52,0.9,0.9,55.4,0.055,0.036,NA,NA,NA,NA,NA,0.31,0.44,54.8,0.015,0.006,0.102,0.039,21.097,10.775,21.535,13.526,Eragrostis.lehmanniana,Grass,Poaceae,Exotic,Perennial,NA,31.81704604,-111.51036,1071.628296,2,10,1.098612289,3,35.24395718,0.001021452,6.052474597,0.00099133,0.396551724,140.8695652
ERLE_1_2020,ERLE_1,2020,525,ERLE,1,1,ERLE.1.1,0.044,0.016,0.17,2020_09_15/IMG_0010,NA,9/11/20,0,294,NA,51.8,0,3,882,6,NA,39.1,53.5,35.2,3,3,20.94,21.52,15.2,8.2,10.7,13.52,0.9,0.9,55.4,0.055,0.036,NA,NA,NA,NA,NA,0.31,0.44,54.8,0.015,0.006,0.102,0.039,21.097,10.775,21.535,13.526,Eragrostis.lehmanniana,Grass,Poaceae,Exotic,Perennial,NA,31.81704604,-111.51036,1071.628296,2,10,1.098612289,3,35.24395718,0.001021452,6.052474597,0.00099133,0.363636364,NA
ERLE_64_2021,ERLE_64,2021,185,ERLE,64,2,ERLE_64_2,0.016,0.008,0.17,IMG276,1.307,NA,0,0,NA,0,565,3,1695,NA,7.68E-05,NA,NA,NA,NA,NA,1.7,0.108,15.3,10,1,0.074,1.04,1.16,42.57,0.048,0.0275,NA,NA,NA,NA,NA,0.37,0.27,32.63,0.006,0.0021,0.029,0.0199,1.777,1.0474,0.114,0.0761,Eragrostis.lehmanniana,Grass,Poaceae,Exotic,Perennial,NA,31.81954703,-111.511481,1077.67749,5,54,2.025326221,8,40.45562378,0.000679757,2.624260308,0.000800225,0.5,163.375
ERLE_64_2021,ERLE_64,2021,184,ERLE,64,1,ERLE_64_1,0.013,0.0119,0.19,IMG275,2.034,NA,0,0,NA,0,565,3,1695,NA,7.68E-05,NA,NA,NA,NA,NA,1.7,0.108,15.3,10,1,0.074,1.04,1.16,42.57,0.048,0.0275,NA,NA,NA,NA,NA,0.37,0.27,32.63,0.006,0.0021,0.029,0.0199,1.777,1.0474,0.114,0.0761,Eragrostis.lehmanniana,Grass,Poaceae,Exotic,Perennial,NA,31.81954703,-111.511481,1077.67749,5,54,2.025326221,8,40.45562378,0.000679757,2.624260308,0.000800225,0.915384615,170.9243697
DICA_5A_2021,DICA_5A,2021,142,DICA,5A,2,DICA_5A_2,0.074,0.024,0.25,IMG033,5.781,8/20/21,0,0,NA,895,159,9,1431,6,0.00064,56.5,72.5,53,9,0,16.6,6.7,15.5,18,6.8,2.4,1.36,1.19,33.51,0.045,0.0219,NA,NA,NA,NA,NA,0.64,0.62,16.88,0.005,0.0023,0.122,0.0398,16.767,6.8617,6.705,2.4023,Digitaria.californica,Grass,Poaceae,Native,Perennial,NA,31.81565297,-111.510061,1085.128296,4,44,2.564949357,13,42.78432442,0.00051187,5.261910084,0.000437104,0.324324324,240.875
DICA_5A_2021,DICA_5A,2021,143,DICA,5A,1,DICA_5A_1,0.048,0.0158,0.22,IMG034,4.135,8/20/21,0,0,NA,895,159,9,1431,6,0.00064,56.5,72.5,53,9,0,16.6,6.7,15.5,18,6.8,2.4,1.36,1.19,33.51,0.045,0.0219,NA,NA,NA,NA,NA,0.64,0.62,16.88,0.005,0.0023,0.122,0.0398,16.767,6.8617,6.705,2.4023,Digitaria.californica,Grass,Poaceae,Native,Perennial,NA,31.81565297,-111.510061,1085.128296,4,44,2.564949357,13,42.78432442,0.00051187,5.261910084,0.000437104,0.329166667,261.7088608
SAIB_10A_2021,SAIB_10A,2021,351,SAIB,10A,1,SAIB_10A_1,0.003,8.00E-04,0.64,IMG293,0.042,9/21/20201,0,0,3,1075,146,163,23798, 5/6,NA,107.5,103,101,3,2,217.4,9,16,33.5,164.8,4.2,5.47,5.57,57.6,0.6551,0.898,NA,NA,NA,NA,NA,5.84,5.69,24.97,0.573,0.263,0.006,0.0015,218.0611,165.6995,9.573,4.463,Salsola.iberica,Forb,Amaranthaceae,Exotic,Annual,NA,31.81713598,-111.510619,1065.2052,2,18,1.791759469,6,1378.448421,0.000651457,651.7890303,0.000403505,0.266666667,52.5
SAIB_10A_2021,SAIB_10A,2021,352,SAIB,10A,2,SAIB_10A_2,0.003,7.00E-04,0.57,IMG294,0.05,9/21/20201,0,0,3,1075,146,163,23798, 5/6,NA,107.5,103,101,3,2,217.4,9,16,33.5,164.8,4.2,5.47,5.57,57.6,0.6551,0.898,NA,NA,NA,NA,NA,5.84,5.69,24.97,0.573,0.263,0.006,0.0015,218.0611,165.6995,9.573,4.463,Salsola.iberica,Forb,Amaranthaceae,Exotic,Annual,NA,31.81713598,-111.510619,1065.2052,2,18,1.791759469,6,1378.448421,0.000651457,651.7890303,0.000403505,0.233333333,71.42857143
KAGR_40_2020,KAGR_40,2020,469,KAGR,40,1,KAGR.40.1,0.082,0.041,0.23,2020_09_12/IMG_0009,3.735,9/9/20,0,0,NA,NA,0,5,0,2,NA,6.4,22.5,17.8,5,2,4.58,0.28,16.2,7.36,1.88,0.12,2.04,2.07,8.92,0.077,0.009,2.4,2.42,19.18,0.042,0.025,2.4,2.2,9.1,0.039,0.018,0.333,0.146,4.99,2.035,0.319,0.138,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81535097,-111.510166,1082.580688,4,8,1.386294361,4,29.58546422,0.000304203,37.80828219,0.000476086,0.5,91.09756098
KAGR_40_2020,KAGR_40,2020,471,KAGR,40,3,KAGR.40.3,0.139,0.059,0.23,2020_09_12/IMG_0011,5.648,9/9/20,0,0,NA,NA,0,5,0,2,NA,6.4,22.5,17.8,5,2,4.58,0.28,16.2,7.36,1.88,0.12,2.04,2.07,8.92,0.077,0.009,2.4,2.42,19.18,0.042,0.025,2.4,2.2,9.1,0.039,0.018,0.333,0.146,4.99,2.035,0.319,0.138,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81535097,-111.510166,1082.580688,4,8,1.386294361,4,29.58546422,0.000304203,37.80828219,0.000476086,0.424460432,95.72881356
KAGR_40_2020,KAGR_40,2020,470,KAGR,40,2,KAGR.40.2,0.112,0.046,0.32,2020_09_12/IMG_0010,4.678,9/9/20,0,0,NA,NA,0,5,0,2,NA,6.4,22.5,17.8,5,2,4.58,0.28,16.2,7.36,1.88,0.12,2.04,2.07,8.92,0.077,0.009,2.4,2.42,19.18,0.042,0.025,2.4,2.2,9.1,0.039,0.018,0.333,0.146,4.99,2.035,0.319,0.138,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81535097,-111.510166,1082.580688,4,8,1.386294361,4,29.58546422,0.000304203,37.80828219,0.000476086,0.410714286,101.6956522
HETERO_1A_2021,HETERO_1A,2021,239,HETERO,1A,1,HETERO_1A_1,0.072,0.0415,0.15,IMG247,8.497,9/7/21,0,0,0,520,17,1,17,6,0.0018,45,26,23,1,1,1.7,0.116,16.5,7.5,0.8,0.083,1.99,1.55,28.18,0.064,0.0295,NA,NA,NA,NA,NA,0.43,0.39,28.06,0.009,0.004,0.125,0.0638,1.889,0.8933,0.125,0.087,Heteropogon.contortus,Grass,Poaceae,Native,Perennial,NA,31.81933103,-111.510798,1072.076416,9,18,1.560710409,5,69.33897267,0.000425446,3.704633601,0.001079729,0.576388889,204.746988
HETERO_1A_2021,HETERO_1A,2021,238,HETERO,1A,2,HETERO_1A_2,0.053,0.0223,0.15,IMG248,5.118,9/7/21,0,0,0,520,17,1,17,6,0.0018,45,26,23,1,1,1.7,0.116,16.5,7.5,0.8,0.083,1.99,1.55,28.18,0.064,0.0295,NA,NA,NA,NA,NA,0.43,0.39,28.06,0.009,0.004,0.125,0.0638,1.889,0.8933,0.125,0.087,Heteropogon.contortus,Grass,Poaceae,Native,Perennial,NA,31.81933103,-111.510798,1072.076416,9,18,1.560710409,5,69.33897267,0.000425446,3.704633601,0.001079729,0.420754717,229.5067265
ERLE_44_2021,ERLE_44,2021,179,ERLE,44,2,ERLE_44_2,0.009,0.0038,0.07,IMG304,0.672,9/22/21,0,0,NA,700,615,26,15990,6,9.26E-05,62,84,65,26,1,11.3,7.2,17,11,7.6,3.2,1.41,1.65,35.04,0.062,0.0373,NA,NA,NA,NA,NA,0.45,0.32,45.43,0.008,0.0028,0.017,0.0048,11.379,7.6421,7.208,3.2028,Eragrostis.lehmanniana,Grass,Poaceae,Exotic,Perennial,NA,31.81548298,-111.510151,1081.242676,4,38,2.441015278,11,64.42239117,0.000578991,5.288762651,0.000529424,0.422222222,176.8421053
ERLE_44_2021,ERLE_44,2021,178,ERLE,44,1,ERLE_44_1,0.008,0.001,0.05,IMG303,0.261,9/22/21,0,0,NA,700,615,26,15990,6,9.26E-05,62,84,65,26,1,11.3,7.2,17,11,7.6,3.2,1.41,1.65,35.04,0.062,0.0373,NA,NA,NA,NA,NA,0.45,0.32,45.43,0.008,0.0028,0.017,0.0048,11.379,7.6421,7.208,3.2028,Eragrostis.lehmanniana,Grass,Poaceae,Exotic,Perennial,NA,31.81548298,-111.510151,1081.242676,4,38,2.441015278,11,64.42239117,0.000578991,5.288762651,0.000529424,0.125,261
KAGR_206_2021,KAGR_206,2021,276,KAGR,206,2,KAGR_206_2,0.115,0.0857,0.11,KAGR206L2,18.499,8/5/21,130,5,56,415,24,1,159,5,NA,51.5,150,123.5,4,1,254.888,6.125,17.1,16.5,50.6,1.5,5.37,5.6,99,1.388,0.249,NA,NA,NA,NA,NA,4.29,4.7,29.7,0.425,0.1109,0.62,0.3754,256.896,51.2244,6.55,1.6109,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81562698,-111.511782,1086.570679,3,43,2.197224577,9,2339.259166,0.000106444,471.3089889,0.000235302,0.745217391,215.8576429
KAGR_206_2021,KAGR_206,2021,277,KAGR,206,2,KAGR_206_2,0.115,0.0857,0.11,KAGR206L2,18.499,8/5/21,130,5,56,415,24,1,159,5,NA,51.5,150,123.5,4,1,254.888,6.125,17.1,16.5,50.6,1.5,5.37,5.6,99,1.388,0.249,NA,NA,NA,NA,NA,4.29,4.7,29.7,0.425,0.1109,0.62,0.3754,256.896,51.2244,6.55,1.6109,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81562698,-111.511782,1086.570679,3,43,2.197224577,9,2339.259166,0.000106444,471.3089889,0.000235302,0.745217391,215.8576429
KAGR_206_2021,KAGR_206,2021,278,KAGR,206,1,KAGR_206_1,0.195,0.102,0.11,KAGR206L1,24.101,8/5/21,130,5,56,415,24,1,159,5,NA,51.5,150,123.5,4,1,254.888,6.125,17.1,16.5,50.6,1.5,5.37,5.6,99,1.388,0.249,NA,NA,NA,NA,NA,4.29,4.7,29.7,0.425,0.1109,0.62,0.3754,256.896,51.2244,6.55,1.6109,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81562698,-111.511782,1086.570679,3,43,2.197224577,9,2339.259166,0.000106444,471.3089889,0.000235302,0.523076923,236.2843137
KAGR_206_2021,KAGR_206,2021,279,KAGR,206,1,KAGR_206_1,0.195,0.102,0.11,KAGR206L1,24.101,8/5/21,130,5,56,415,24,1,159,5,NA,51.5,150,123.5,4,1,254.888,6.125,17.1,16.5,50.6,1.5,5.37,5.6,99,1.388,0.249,NA,NA,NA,NA,NA,4.29,4.7,29.7,0.425,0.1109,0.62,0.3754,256.896,51.2244,6.55,1.6109,Kallstroemia.grandiflora,Forb,Zygophyllaceae,Native,Annual,NA,31.81562698,-111.511782,1086.570679,3,43,2.197224577,9,2339.259166,0.000106444,471.3089889,0.000235302,0.523076923,236.2843137
ERLE_899_2020,ERLE_899,2020,716,ERLE,899,2,ERLE.899.2,0.081,0.038,0.22,2020_10_05/IMG_0010,4.086,9/15/20,0,141,NA,39,0,4,564,6,NA,44,52.5,42.5,4,1,25.41,57.8,17.2,13.4,15.22,30.68,1,0.96,37.3,0.033,0.023,NA,NA,NA,NA,NA,0.39,0.31,21.07,0.006,0.0021,0.165,0.069,25.608,15.312,57.806,30.6821,Eragrostis.lehmanniana,Grass,Poaceae,Exotic,Perennial,NA,31.81548902,-111.510858,1084.246826,7,16,0.693147181,2,28.13525558,0.00081748,2.027171565,0.001035926,0.469135802,107.5263158
ERLE_899_2020,ERLE_899,2020,715,ERLE,899,1,ERLE.899.1,0.084,0.031,0.19,2020_10_05/IMG_0009,4.616,9/15/20,0,141,NA,39,0,4,564,6,NA,44,52.5,42.5,4,1,25.41,57.8,17.2,13.4,15.22,30.68,1,0.96,37.3,0.033,0.023,NA,NA,NA,NA,NA,0.39,0.31,21.07,0.006,0.0021,0.165,0.069,25.608,15.312,57.806,30.6821,Eragrostis.lehmanniana,Grass,Poaceae,Exotic,Perennial,NA,31.81548902,-111.510858,1084.246826,7,16,0.693147181,2,28.13525558,0.00081748,2.027171565,0.001035926,0.369047619,148.9032258
CURLY_998_2020,CURLY_998,2020,538,CURLY,998,2,CURLY.998.2,0.014,0.006,0.11,2020_09_16/IMG_0002,1.02,9/15/20,0,0,NA,NA,0,0,0,2,NA,6.7,11,9,0,1,4.66,13.04,17.3,5.5,1.27,5.14,1.15,0.74,26.96,0.028,0.006,NA,NA,NA,NA,NA,0.36,0.35,30.1,0.005,0.0015,0.037,0.015,4.725,1.291,13.045,5.1415,Bouteloua.chondrosioides,Grass,Poaceae,Native,Perennial,NA,31.815629,-111.510949,1080.908936,7,38,1.609437912,5,18.90921005,0.000317306,2.979292087,0.000503475,0.428571429,170
CURLY_998_2020,CURLY_998,2020,537,CURLY,998,1,CURLY.998.1,0.023,0.009,0.11,2020_09_16/IMG_0001,1.657,9/15/20,0,0,NA,NA,0,0,0,2,NA,6.7,11,9,0,1,4.66,13.04,17.3,5.5,1.27,5.14,1.15,0.74,26.96,0.028,0.006,NA,NA,NA,NA,NA,0.36,0.35,30.1,0.005,0.0015,0.037,0.015,4.725,1.291,13.045,5.1415,Bouteloua.chondrosioides,Grass,Poaceae,Native,Perennial,NA,31.815629,-111.510949,1080.908936,7,38,1.609437912,5,18.90921005,0.000317306,2.979292087,0.000503475,0.391304348,184.1111111
CURLY_932_2020,CURLY_932,2020,586,CURLY,932,2,CURLY.932.2,0.009,0.0083,0.18,2020_09_22/IMG_0018,0.712,9/15/20,0,0,NA,NA,0,0,0,2,NA,9.6,19.2,12.9,0,1,14.57,35.66,18,7.1,5.25,14.57,1.19,1.32,16.92,0.031,0.008,NA,NA,NA,NA,NA,0.74,0.62,40.6,0.013,0.009,0.024,0.0183,14.625,5.2763,35.673,14.579,Bouteloua.chondrosioides,Grass,Poaceae,Native,Perennial,NA,31.81547401,-111.511924,1085.134277,3,6,1.386294361,4,20.93040788,0.000382219,14.7446253,0.000610392,0.922222222,85.78313253
CURLY_932_2020,CURLY_932,2020,585,CURLY,932,1,CURLY.932.1,0.015,0.01,0.17,2020_09_22/IMG_0017,1.262,9/15/20,0,0,NA,NA,0,0,0,2,NA,9.6,19.2,12.9,0,1,14.57,35.66,18,7.1,5.25,14.57,1.19,1.32,16.92,0.031,0.008,NA,NA,NA,NA,NA,0.74,0.62,40.6,0.013,0.009,0.024,0.0183,14.625,5.2763,35.673,14.579,Bouteloua.chondrosioides,Grass,Poaceae,Native,Perennial,NA,31.81547401,-111.511924,1085.134277,3,6,1.386294361,4,20.93040788,0.000382219,14.7446253,0.000610392,0.666666667,126.2
DICA_889_2020,DICA_889,2020,689,DICA,889,1,DICA.889.1,0.049,0.02,0.22,2020_10_04/IMG_0037,2.895,9/27/20,0,94,NA,42.5,0,11,1034,6,0.000375,48.4,60.9,34.2,11,1,62.73,60.82,18,12.5,14.03,28.66,1.41,1.3,34.83,0.057,0.035,NA,NA,NA,NA,NA,0.92,0.87,19.3,0.009,0.006,0.087,0.036,62.874,14.101,60.829,28.666,Digitaria.californica,Grass,Poaceae,Native,Perennial,NA,31.81549304,-111.511006,1086.530151,7,10,1.386294361,4,50.22523139,0.000696861,12.14208478,0.000494149,0.408163265,144.75
DICA_889_2020,DICA_889,2020,690,DICA,889,2,DICA.889.2,0.038,0.016,0.23,2020_10_04/IMG_0038,2.405,9/27/20,0,94,NA,42.5,0,11,1034,6,0.000375,48.4,60.9,34.2,11,1,62.73,60.82,18,12.5,14.03,28.66,1.41,1.3,34.83,0.057,0.035,NA,NA,NA,NA,NA,0.92,0.87,19.3,0.009,0.006,0.087,0.036,62.874,14.101,60.829,28.666,Digitaria.californica,Grass,Poaceae,Native,Perennial,NA,31.81549304,-111.511006,1086.530151,7,10,1.386294361,4,50.22523139,0.000696861,12.14208478,0.000494149,0.421052632,150.3125
CURLY_G74_2020,CURLY_G74,2020,581,CURLY,G74,1,CURLY.G74.1,0.014,0.006,0.17,2020_09_22/IMG_0013,0.514,9/15/20,0,0,NA,NA,0,0,0,2,NA,10.1,21.8,16.5,0,1,5.7,53.25,18.2,9.1,1.62,21.31,0.83,0.71,11.84,0.01,0.003,NA,NA,NA,NA,NA,0.55,0.53,38.7,0.007,0.006,0.02,0.0086,5.73,1.6316,53.257,21.316,Bouteloua.chondrosioides,Grass,Poaceae,Native,Perennial,NA,31.815357,-111.511858,1088.109009,3,18,1.609437912,5,5.513444842,0.000544124,8.863155442,0.00067696,0.428571429,85.66666667
CURLY_G74_2020,CURLY_G74,2020,582,CURLY,G74,2,CURLY.G74.2,0.006,0.0026,0.16,2020_09_22/IMG_0014,0.286,9/15/20,0,0,NA,NA,0,0,0,2,NA,10.1,21.8,16.5,0,1,5.7,53.25,18.2,9.1,1.62,21.31,0.83,0.71,11.84,0.01,0.003,NA,NA,NA,NA,NA,0.55,0.53,38.7,0.007,0.006,0.02,0.0086,5.73,1.6316,53.257,21.316,Bouteloua.chondrosioides,Grass,Poaceae,Native,Perennial,NA,31.815357,-111.511858,1088.109009,3,18,1.609437912,5,5.513444842,0.000544124,8.863155442,0.00067696,0.433333333,110
CURLY_69_2020,CURLY_69,2020,579,CURLY,69,1,CURLY.69.1,0.019,0.01,0.16,2020_09_22/IMG_0011,0.756,9/15/20,0,0,NA,NA,0,0,0,2,NA,6.8,23,15.5,0,1,6.68,105.14,18.3,12,2.06,42.86,1.22,1.55,10.13,0.013,0.005,NA,NA,NA,NA,NA,0.7,0.56,42.43,0.019,0.007,0.031,0.015,6.724,2.08,105.159,42.867,Bouteloua.chondrosioides,Grass,Poaceae,Native,Perennial,NA,31.81570603,-111.510896,1080.816406,7,31,1.945910149,7,15.26155807,0.000327621,13.22647185,0.000529242,0.526315789,75.6
CURLY_69_2020,CURLY_69,2020,580,CURLY,69,2,CURLY.69.2,0.012,0.005,0.16,2020_09_22/IMG_0012,0.498,9/15/20,0,0,NA,NA,0,0,0,2,NA,6.8,23,15.5,0,1,6.68,105.14,18.3,12,2.06,42.86,1.22,1.55,10.13,0.013,0.005,NA,NA,NA,NA,NA,0.7,0.56,42.43,0.019,0.007,0.031,0.015,6.724,2.08,105.159,42.867,Bouteloua.chondrosioides,Grass,Poaceae,Native,Perennial,NA,31.81570603,-111.510896,1080.816406,7,31,1.945910149,7,15.26155807,0.000327621,13.22647185,0.000529242,0.416666667,99.6
DICA_14B_2021,DICA_14B,2021,131,DICA,14B,2,DICA_14B_2,0.076,0.0275,0.21,IMG102,5.606,NA,0,0,NA,0,224,23,5152,NA,0.000816,NA,NA,NA,NA,NA,58.7,8,18.5,21.5,30.6,3.7,1.31,1.55,37.39,0.059,0.0329,NA,NA,NA,NA,NA,0.64,0.6,39.09,0.011,0.072,0.095,0.0346,58.854,30.6675,8.011,3.772,Digitaria.californica,Grass,Poaceae,Native,Perennial,NA,31.81953404,-111.511605,1075.723022,5,62,2.302585093,10,60.05060973,0.000547871,11.80154674,0.006100895,0.361842105,203.8545455
DICA_14B_2021,DICA_14B,2021,130,DICA,14B,1,DICA_14B_1,0.019,0.0071,0.18,IMG101,1.472,NA,0,0,NA,0,224,23,5152,NA,0.000816,NA,NA,NA,NA,NA,58.7,8,18.5,21.5,30.6,3.7,1.31,1.55,37.39,0.059,0.0329,NA,NA,NA,NA,NA,0.64,0.6,39.09,0.011,0.072,0.095,0.0346,58.854,30.6675,8.011,3.772,Digitaria.californica,Grass,Poaceae,Native,Perennial,NA,31.81953404,-111.511605,1075.723022,5,62,2.302585093,10,60.05060973,0.000547871,11.80154674,0.006100895,0.373684211,207.3239437
ERLE_4A_2021,ERLE_4A,2021,181,ERLE,4A,2,ERLE_4A_2,0.004,0.0022,0.11,IMG264,0.5,9/7/21,0,0,0,640,873,32,27936, 6/7,NA,53.5,68.5,57,32,1,30,2.1,20,17,22.2,1.4,2.04,2.01,40.1,0.072,0.056,NA,NA,NA,NA,NA,0.53,0.47,33.5,0.013,0.0093,0.054,0.0061,30.126,22.2621,2.113,1.4093,Eragrostis.lehmanniana,Grass,Poaceae,Exotic,Perennial,NA,31.81858404,-111.510406,1068.495239,1,23,2.302585093,10,129.1469961,0.000433614,6.577709618,0.001413866,0.55,227.2727273
ERLE_4A_2021,ERLE_4A,2021,180,ERLE,4A,1,ERLE_4A_1,0.05,0.0039,0.13,IMG263,0.895,9/7/21,0,0,0,640,873,32,27936, 6/7,NA,53.5,68.5,57,32,1,30,2.1,20,17,22.2,1.4,2.04,2.01,40.1,0.072,0.056,NA,NA,NA,NA,NA,0.53,0.47,33.5,0.013,0.0093,0.054,0.0061,30.126,22.2621,2.113,1.4093,Eragrostis.lehmanniana,Grass,Poaceae,Exotic,Perennial,NA,31.81858404,-111.510406,1068.495239,1,23,2.302585093,10,129.1469961,0.000433614,6.577709618,0.001413866,0.078,229.4871795
DICA_1976_2021,DICA_1976,2021,136,DICA,1976,1,DICA_1976_1,NA,NA,NA,IMG107,6.536,8/30/21,0,0,NA,1000,62,12,744, 5/6,NA,75,69.5,49.5,12,1,42.5,3.8,20.3,21.2,17.9,2.1,1.25,0.93,23.77,0.028,0.0116,NA,NA,NA,NA,NA,0.45,0.45,50.65,0.009,0.0043,0,0,42.528,17.9116,3.809,2.1043,Digitaria.californica,Grass,Poaceae,Native,Perennial,NA,31.818089,-111.512144,1071.851807,8,28,2.588573163,10,22.18053713,0.000522981,8.055534438,0.000533795,NA,NA
